"","R2gainPvalue","R2losePvalue","AshiftPvalue","phasePvalue","intshiftPvalue"
"TMEM91",0.650469768839756,0.349530231160244,0.436591007095535,0.581526781397415,0.467861016373306
"PPP1R12C",0.650476302481477,0.349523697518523,0.473721692997243,0.67876043749265,0.979236086609955
"LOC101927751",0.650522037973526,0.349477962026474,0.693859683510395,0.807192232806722,0.665399140172749
"RINT1",0.650580840749017,0.349419159250983,0.508343460478001,0.780214826139794,0.49428306349393
"TMEM177",0.650587374390738,0.349412625609262,0.732584577992081,0.897441425901969,0.880453957426791
"CPSF1P1",0.650678845374835,0.349321154625165,0.588001620343147,0.700804944660055,0.394690762737334
"ITGA9.AS1",0.650685379016556,0.349314620983444,0.55718243234414,0.405797953663413,0.799743881244528
"E4F1",0.650691912658278,0.349308087341723,0.570667868856743,0.730291269747932,0.651848367242934
"FMN1",0.650698446299999,0.349301553700001,0.663308374821958,0.457132776667059,0.132404249480575
"IGFBP3",0.650737648150326,0.349262351849674,0.443412129052491,0.752368445123943,0.388529538594222
"RARRES3",0.650861787343029,0.349138212656971,0.454101166908411,0.705306623805977,0.143034484561005
"CIDECP",0.650881388268193,0.349118611731807,0.387098671057274,0.49171534229749,0.32289257386282
"LINC01355",0.650900989193357,0.349099010806643,0.527238752335777,0.919616605903799,0.086858233041933
"JPH4",0.65102512838606,0.34897487161394,0.995171638768017,0.937126765716675,0.692585623374757
"C5orf51",0.651038195669502,0.348961804330498,0.470513674912122,0.61473728226639,0.438263619376168
"WAC.AS1",0.651044729311223,0.348955270688777,0.441399767402355,0.225567446783488,0.737445607432671
"GUCY1B3",0.651064330236387,0.348935669763613,0.915219465025416,0.22921321886393,0.805055731963882
"GMEB1",0.651129666653599,0.348870333346401,0.755569929567342,0.714342650306428,0.568622838998001
"CHRM1",0.651234204921139,0.348765795078861,0.699347942556222,0.900682112195696,0.672370535889294
"POLR1C",0.651286474054909,0.348713525945091,0.643504906764933,0.141028656552589,0.870947508722412
"KY",0.651299541338351,0.348700458661649,0.723633488834006,0.751930691128621,0.2612215296562
"SEC23B",0.651423680531054,0.348576319468946,0.882459785435206,0.912076783357508,0.671468893331765
"H3F3AP4",0.651456348739661,0.348543651260339,0.310439452742169,0.512466188404093,0.976988513857854
"RNF167",0.651475949664824,0.348524050335176,0.478360578619311,0.568492166163576,0.551811778849295
"LEPROTL1",0.651502084231709,0.348497915768291,0.794118415722555,0.859899120571824,0.821435571758987
"RGS11",0.651521685156873,0.348478314843127,0.60752414180616,0.703784285284932,0.571928861708939
"RBM10",0.651580487932364,0.348419512067636,0.623087276386112,0.808701504044324,0.867288669358527
"RAB27B",0.651606622499249,0.348393377500751,0.649986279352385,0.713525945091275,0.465097285925229
"FBXO38",0.651658891633018,0.348341108366982,0.910521776627857,0.584375449187868,0.774458687783397
"IPO8",0.65182876631777,0.34817123368223,0.747331007356881,0.715126687312974,0.569269669528402
"INTS6.AS1",0.651867968168098,0.348132031831902,0.462634102996328,0.776627856834843,0.144759365975407
"CREBRF",0.651900636376704,0.348099363623296,0.835972924588707,0.520260822977511,0.441412834685797
"CXorf23",0.651939838227031,0.348060161772969,0.647405490872503,0.459622094162844,0.510159812876501
"PDPK1",0.651952905510473,0.348047094489527,0.909175846433285,0.909476393952461,0.622499248631202
"PPP1R3B",0.65204437649457,0.347955623505429,0.287885321520509,0.588262966011996,0.696741019509454
"CKMT1A.CKMT1B.1",0.652305722163419,0.347694277836581,0.631202059403871,0.567329177937199,0.330621872019026
"PFKFB2",0.652488664131614,0.347511335868386,0.557058293151437,0.596449619088688,0.249068956054726
"TMED7",0.652638937891202,0.347361062108798,0.873861512930077,0.618958014818299,0.866256353966574
"MRM2",0.652645471532923,0.347354528467077,0.512087237184262,0.71649221843271,0.497523749787657
"CCDC151",0.652750009800463,0.347249990199537,0.427162962091811,0.640734642675134,0.804964260979785
"GNAI2",0.65295255269382,0.34704744730618,0.526859801115946,0.979033543716597,0.88664784977851
"EPN2",0.653017889111033,0.346982110888967,0.706254001855554,0.489827119840056,0.972833117723157
"C1QL1",0.653030956394475,0.346969043605525,0.228520652841481,0.949050661857906,0.415271734159186
"CHMP3",0.653037490036196,0.346962509963804,0.857873691638245,0.892802540279901,0.714747736093144
"VEGFA",0.653096292811687,0.346903707188313,0.169012244044586,0.678845374835026,0.135344388255126
"LOC100499484",0.653181230154063,0.346818769845937,0.888993427156428,0.841539587335189,0.117148196061521
"UBAP1",0.653298835705045,0.346701164294955,0.693800880734904,0.859846851438055,0.675232270963189
"HLA.B",0.653357638480536,0.346642361519464,0.986129078625844,0.947070968416376,0.745024631829289
"ZNF275",0.653403373972585,0.346596626027415,0.799234257190273,0.856037738314582,0.339866975054556
"ANKRD35",0.65342950853947,0.34657049146053,0.780430436316594,0.527604636272165,0.122714858808002
"FAM172A",0.653488311314961,0.346511688685039,0.917721849804644,0.53334770734512,0.486762841872803
"NSA2",0.653599383224222,0.346400616775778,0.232989663778797,0.382172305199472,0.317737530544775
"FGD6",0.653625517791106,0.346374482208894,0.59955963254799,0.361519463718687,0.420740392279849
"RAB3B",0.653651652357991,0.346348347642009,0.543167770852118,0.839017601630797,0.408104329191004
"PAPPA",0.653690854208319,0.346309145791681,0.390045343473545,0.688371424464568,0.114547806656474
"PYGB",0.653828060684464,0.346171939315536,0.563454728396514,0.813797744586878,0.180001829419682
"NREP",0.653834594326186,0.346165405673814,0.850216263540972,0.631450337789277,0.0194833196126857
"NSUN6",0.653873796176513,0.346126203823487,0.686528937499183,0.68784873312687,0.711003959386883
"RNF113A",0.653880329818234,0.346119670181766,0.653984868085774,0.308577364851621,0.567080899551792
"RRM2B",0.653906464385119,0.346093535614881,0.777464162975159,0.772256850523345,0.876305094933814
"CDK16",0.653958733518889,0.346041266481111,0.410508709344414,0.863231277849648,0.530348765795079
"FBXO5",0.653991401727495,0.346008598272505,0.835319560416585,0.0208227161655363,0.62831418976309
"BAG4",0.654037137219543,0.345962862780457,0.811556705476498,0.609673709932442,0.96088308701504
"LANCL2",0.654076339069871,0.345923660930129,0.73012139506318,0.612953598076496,0.274746168019131
"DCLK2",0.654082872711592,0.345917127288408,0.875246644974976,0.91417408235002,0.710213388738615
"CHEK1",0.654089406353313,0.345910593646687,0.691174356762973,0.715165889163302,0.41535013785984
"ARHGEF25",0.654357285663883,0.345642714336117,0.704921138944425,0.313464528859095,0.636729520300025
"SERPINE2",0.654429155722817,0.345570844277183,0.812425679825421,0.725874527944386,0.196643014883636
"S100PBP",0.654494492140029,0.345505507859971,0.672141858429051,0.269591124701086,0.211513583441138
"MBTD1",0.654514093065193,0.345485906934807,0.702013668378481,0.155762018633946,0.450135246383629
"PRPF31",0.654559828557241,0.345440171442759,0.796503194950802,0.72504475544579,0.796888679812354
"GALNT11",0.654618631332732,0.345381368667268,0.679178590562808,0.831013890522299,0.591745397049407
"DOK6",0.654631698616175,0.345368301383825,0.94222953990095,0.740470683549597,0.0468135429325598
"BMPR1A",0.654723169600272,0.345276830399728,0.883707711003959,0.757935107870425,0.992754191331164
"PEX19",0.654795039659205,0.345204960340795,0.652606269682596,0.517706169064513,0.79446469873378
"KIAA1671",0.654886510643302,0.345113489356698,0.927300168567956,0.742326237798424,0.245521188600102
"CDKN3",0.654964914343957,0.345035085656043,0.725070890012675,0.087093444143897,0.436323127784965
"LOC101927356",0.655115188103545,0.344884811896455,0.120186339461889,0.736550498516863,0.0132959609026879
"CCNG2",0.655285062788297,0.344714937211703,0.736328354698342,0.731911612894795,0.549864753616371
"LGR4",0.655370000130673,0.344629999869327,0.761691951860128,0.0468266102160022,0.887314281234074
"ZIM2.AS1",0.655376533772394,0.344623466227606,0.850699753028343,0.26843467011643,0.782220654148209
"TARS2",0.655441870189606,0.344558129810394,0.662779149842539,0.804827054503639,0.389921204280842
"NUMB",0.655748951350504,0.344251048649496,0.624831758725679,0.707136043487919,0.549747148065389
"ADRB1",0.65599722973591,0.34400277026409,0.678825773909862,0.837175114665412,0.694990003528167
"HHATL",0.656291243613365,0.343708756386635,0.322186940556928,0.934957596665229,0.291544160884394
"SLC2A8",0.656402315522626,0.343597684477374,0.379813660538111,0.573033047159826,0.517686568139349
"UBA6",0.656408849164347,0.343591150835653,0.95355887464555,0.705822781501954,0.914749042821488
"CEP112",0.656448051014675,0.343551948985325,0.585995792334732,0.885857279130242,0.66641838828126
"FSTL3",0.656454584656396,0.343545415343604,0.217648673017366,0.80237040521646,0.763429900557973
"INO80C",0.65653298835705,0.34346701164295,0.682595685183007,0.396631254328538,0.378787878787879
"SLC25A18",0.656657127549754,0.343342872450246,0.519555189671619,0.239588641917232,0.681491499732121
"CCDC68",0.656709396683523,0.343290603316477,0.836430279509193,0.531256941994329,0.663916003502032
"NCKAP5",0.656840069517948,0.343159930482052,0.714499457707737,0.446228128634338,0.0404367086126465
"MCRIP2",0.657023011486142,0.342976988513858,0.269747932102395,0.71820403256367,0.991970154324617
"DCBLD1",0.657029545127863,0.342970454872137,0.729023743254015,0.803102173089236,0.334352581441844
"ZNF192P1",0.657127549753682,0.342872450246318,0.713427940465457,0.807120362747788,0.0418545088661518
"LINC01011",0.657147150678845,0.342852849321155,0.567936806617272,0.681635239849988,0.816783618853477
"MPV17L2",0.657179818887451,0.342820181112549,0.652475596848171,0.910848458713918,0.260065075071543
"GTF2IRD2.GTF2IRD2B.1",0.657258222588106,0.342741777411894,0.914735975538045,0.387889241705542,0.644367347472134
"LOC100996635",0.657290890796712,0.342709109203288,0.375370784167679,0.0625138839886576,0.892782939354738
"FGD3",0.657349693572203,0.342650306427797,0.654187410979131,0.644256275562873,0.058887712833379
"NBPF10..includes.others..1",0.657480366406628,0.342519633593372,0.882825669371594,0.412860820364054,0.562513883988658
"NAA25",0.657552236465561,0.342447763534439,0.647425091797666,0.97172893227227,0.263384165065924
"AIF1L",0.657676375658264,0.342323624341736,0.518058985717459,0.53158362408039,0.718975002286775
"ZBTB38",0.657702510225149,0.342297489774851,0.736726906843336,0.394540488977746,0.900146353574555
"CTU2",0.65770904386687,0.342290956133129,0.424353496151685,0.0805336678557894,0.76186182654488
"CLDN11",0.657820115776131,0.342179884223869,0.268349732774054,0.748768408535549,0.087361323454467
"MYO1F",0.65786585126818,0.34213414873182,0.235315640231552,0.650123485828531,0.11367229866583
"MS4A6A",0.657905053118507,0.342094946881493,0.577390986187881,0.134468880264482,0.00482836123198349
"HSPA2",0.657924654043671,0.342075345956329,0.871881819488546,0.853920838396906,0.0625465521972637
"DAPK1",0.658003057744326,0.341996942255674,0.896853398147059,0.909822676963686,0.211134632221307
"PRKAB1",0.658035725952932,0.341964274047068,0.982404902844748,0.786911808904047,0.833810289178983
"ADAP1",0.658153331503914,0.341846668496086,0.384034393090021,0.514903236766109,0.636076156127903
"CDC34",0.658172932429077,0.341827067570923,0.312732760986319,0.280018816888157,0.463516144628693
"DTNB",0.658270937054896,0.341729062945104,0.742927332836777,0.902759810263044,0.763344963215597
"THBD",0.658303605263502,0.341696394736498,0.0498778208998132,0.986096410417238,0.869915193330459
"GXYLT1P3",0.658316672546944,0.341683327453056,0.180988409319587,0.624531211206502,0.480791093339606
"ANKRD55",0.658342807113829,0.341657192886171,0.451350503743777,0.840945025938558,0.59004665020189
"FAM222B",0.658375475322435,0.341624524677565,0.566407934454506,0.711729193617939,0.783272570465326
"CCND3",0.658545350007187,0.341454649992813,0.485691324630523,0.710494335332628,0.658715224691939
"PEX12",0.658643354633005,0.341356645366995,0.697511989232558,0.802435741633672,0.583107922693951
"TRANK1",0.65872175833366,0.34127824166634,0.800619389235172,0.828093352672913,0.0948946123590367
"TBC1D9",0.658832830242921,0.341167169757079,0.625151907170018,0.537960458400303,0.833013184888993
"C7orf73",0.658917767585297,0.341082232414703,0.75785670416977,0.690880342885517,0.999621048780169
"NEO1",0.659048440419721,0.340951559580279,0.998294719510761,0.657356227213925,0.213728487984633
"IGSF21",0.659107243195212,0.340892756804788,0.568335358762267,0.722398630548695,0.372509049093784
"AKR1C1.AKR1C2",0.659133377762097,0.340866622237903,0.781978909404524,0.0377252472983391,0.85469180812001
"CERS4",0.659152978687261,0.340847021312739,0.840468070092908,0.895958289231252,0.51181282423197
"ADAMTS9.AS2",0.659179113254146,0.340820886745854,0.733512355116495,0.902459262743868,0.477955492832595
"MAP3K2",0.659388189789225,0.340611810210775,0.60372809596613,0.564153828060684,0.554144288943772
"EML6",0.65941432435611,0.34058567564389,0.990879036157173,0.871038979706509,0.32840043383381
"SLITRK4",0.659440458922995,0.340559541077005,0.715793118768539,0.161916709135338,0.945097808616567
"ZNF23",0.659590732682583,0.340409267317417,0.750369150757249,0.631084453852889,0.744626079684295
"VPS51",0.659603799966025,0.340396200033975,0.395187319508147,0.574130698968991,0.87115005161577
"SSSCA1",0.659708338233565,0.340291661766435,0.341265174382897,0.789590602009748,0.513047682517282
"PLP1",0.659741006442171,0.340258993557829,0.458988330915886,0.765056777346557,0.064199563552733
"CDKN2B",0.659760607367334,0.340239392632666,0.531113201876462,0.513772916748337,0.766076025455068
"XYLT2",0.659773674650777,0.340226325349223,0.883531302677486,0.735766461510317,0.483744299397598
"TXNRD1",0.659780208292498,0.340219791707502,0.885001372064761,0.736890247886367,0.714466789499131
"CSF1",0.659852078351431,0.340147921648568,0.775634743293217,0.566610477347864,0.199811831118429
"ATP6V0E1",0.659904347485201,0.340095652514799,0.843408208867459,0.841232506174291,0.446672416271381
"SDK2",0.659910881126923,0.340089118873077,0.940916277914984,0.95938688306088,0.909770407829916
"WASHC5",0.659917414768644,0.340082585231356,0.687567786532858,0.299992159629935,0.763815385419525
"TAGAP",0.659937015693807,0.340062984306193,0.467985155566009,0.941360565552027,0.381074653390307
"USP5",0.659956616618971,0.340043383381029,0.553125040835261,0.726044402629137,0.6877964639931
"TNKS2",0.659963150260692,0.340036849739308,0.611555398748154,0.68116481764606,0.777242019156637
"TMED10",0.660146092228887,0.339853907771113,0.636964731401989,0.493061272492062,0.952807505847609
"ZNF417.ZNF587",0.660329034197081,0.339670965802919,0.989376298561292,0.85495968743058,0.395932154664367
"FAM13A",0.660413971539457,0.339586028460543,0.822487488076104,0.918231473858899,0.404458557110562
"LNPEP",0.660492375240111,0.339507624759889,0.625779136775256,0.574483515621937,0.328295895566271
"TLN1",0.660511976165275,0.339488023834725,0.51127706561083,0.525533471846538,0.369464372051694
"E2F4",0.660518509806996,0.339481490193004,0.435597893553909,0.920857997830831,0.64637970912227
"U2AF2",0.66053811073216,0.33946188926784,0.586583820089642,0.0675970572477688,0.822324147033073
"IGSF8",0.660570778940766,0.339429221059234,0.507637827172109,0.300475649117305,0.853848968337972
"RICTOR",0.660616514432815,0.339383485567185,0.447188573967358,0.163001293661061,0.324075163014361
"CUX1",0.660675317208306,0.339324682791694,0.977550407045879,0.890169482666249,0.629823461000693
"PTGER3",0.660819057326173,0.339180942673828,0.214773870660029,0.685849438760176,0.0143413435780836
"OSGIN2",0.660890927385106,0.339109072614894,0.887268545742026,0.791805506553243,0.818377827433455
"ZNF37A",0.660956263802318,0.339043736197682,0.498797809923295,0.540743789773544,0.232355900531838
"METAP2",0.661008532936088,0.338991467063912,0.674801050609589,0.634161799103584,0.708677982934128
"TXLNG",0.661086936636743,0.338913063363257,0.563879415108393,0.320396722725313,0.670436577939812
"GXYLT2",0.661165340337397,0.338834659662603,0.639349510630235,0.706815895043579,0.378467730343539
"PLCH2",0.661198008546003,0.338801991453997,0.865001894756099,0.87296640401427,0.0952278280868191
"CCDC13",0.661217609471167,0.338782390528833,0.454826401139467,0.177767323951024,0.662916356318685
"WDR31",0.661302546813543,0.338697453186457,0.849785043187372,0.960164386425706,0.839978046963817
"ARRDC2",0.661328681380428,0.338671318619572,0.660636115357978,0.720151057796595,0.169606805441217
"SGO2",0.661348282305592,0.338651717694408,0.783847530936794,0.95500280946594,0.258653808459759
"CCAR1",0.661361349589034,0.338638650410966,0.367987769022698,0.676447528323337,0.407529368719537
"RNF216P1",0.661374416872476,0.338625583127524,0.638846420217701,0.589537026147634,0.677002887869641
"TUBE1",0.661511623348622,0.338488376651378,0.630705502633058,0.953369399035634,0.232088021221268
"TRMT1",0.661531224273786,0.338468775726214,0.593346139271107,0.0393521240869236,0.529813007173939
"PIK3CA",0.661831771792962,0.338168228207038,0.882649261045121,0.648437806264456,0.76298561292093
"RORA",0.661844839076404,0.338155160923596,0.635932416010036,0.691514106132476,0.328576842160283
"FAM192A",0.661870973643289,0.338129026356711,0.703660146092229,0.712480562415879,0.536601460922289
"PLXNA1",0.661910175493617,0.338089824506383,0.738896075894782,0.905183791341618,0.538391678753904
"HSF2",0.661916709135338,0.338083290864662,0.679544474499196,0.0938230951167561,0.701588981666601
"GAPDH",0.661955910985665,0.338044089014335,0.388980359872986,0.715446835757314,0.513367830961621
"FAP",0.662073516536647,0.337926483463353,0.621989624576947,0.516869862924197,0.218021090595476
"PLCH1",0.662315261280332,0.337684738719668,0.798678897643969,0.876795118062906,0.606929580409529
"ARRB1",0.662341395847217,0.337658604152783,0.595358500921243,0.662707279783606,0.826074457381055
"PPIL2",0.662472068681642,0.337527931318358,0.816541874109791,0.955492832595032,0.340089118873077
"POP1",0.662563539665739,0.337436460334261,0.619879258300992,0.417499705986123,0.732114155788153
"AMOTL1",0.662668077933279,0.337331922066722,0.798894507820769,0.775785017052805,0.794013877455016
"TTLL1",0.662857553543194,0.337142446456806,0.492656186705346,0.803468057025625,0.743254014922838
"KIF13A",0.662909822676964,0.337090177323036,0.695591098566519,0.801521031792701,0.138140786911809
"MAGEE1",0.662929423602127,0.337070576397873,0.86484508735479,0.900335829184471,0.360833431337959
"FN1",0.662981692735897,0.337018307264103,0.452611496595973,0.268571876592575,0.991780678714702
"XYLT1",0.663014360944503,0.336985639055497,0.922811556705477,0.916957413723261,0.845146157565304
"MBD3",0.663092764645158,0.336907235354842,0.249650450167915,0.447900740914971,0.818515033909601
"SRSF6",0.663341043030564,0.336658956969436,0.578501705280489,0.309603146601853,0.361787343029258
"MICU1",0.663412913089498,0.336587086910502,0.593725090490938,0.678701634717159,0.893684581912266
"AUP1",0.663497850431874,0.336502149568126,0.827786271512015,0.752486050674925,0.756830922419538
"AKR1B1",0.663504384073595,0.336495615926405,0.413729794712977,0.581369973996106,0.928149541991715
"MAPK8IP1",0.663556653207365,0.336443346792635,0.284298352215558,0.774347615874136,0.35324787329962
"GTF2H3",0.663765729742444,0.336234270257556,0.899479922118991,0.332627700027441,0.68143269695663
"ZNF330",0.663844133443098,0.336155866556901,0.422301932651221,0.937159433925281,0.439041122740993
"PRRX1",0.664125080037111,0.335874919962889,0.554810720399336,0.0524455420962536,0.508546003371359
"CBWD3.CBWD6",0.664151214603996,0.335848785396004,0.360010192481085,0.767330484665543,0.271577351784338
"BTN3A1",0.664223084662929,0.335776915337071,0.793549988892809,0.574751394932507,0.316848955270689
"TSPYL5",0.664236151946372,0.335763848053628,0.78762397585166,0.408587818678375,0.59891933565931
"ATAD3A",0.664242685588093,0.335757314411907,0.387405752218171,0.974263985260104,0.646961203235459
"P4HTM",0.664288421080142,0.335711578919858,0.486841245573458,0.885929149189175,0.649443987089524
